Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3453851|1|1|1|592.40492632|13|2|1|2|1|1|1|1
3453852|1|1|1|566.5074253|13|2|1|2|1|1|1|1
3453853|1|1|1|482.98606993|13|2|1|2|1|1|1|1
3453854|1|1|1|722.39698767|13|1|1|2|1|1|1|1
3453855|1|1|1|482.98606993|13|2|1|2|1|1|1|1
3453856|1|1|1|765.19361205|13|2|1|2|1|1|1|1
3453857|1|1|1|602.80480039|13|2|1|2|1|1|1|1
3453858|1|1|1|650.00851977|13|1|1|2|1|1|1|1
3453859|1|1|1|625.60553018|13|2|1|2|1|1|1|1
3453860|1|1|1|602.5590941|13|2|1|1|1|1|1|1
3453861|1|1|1|647.15231143|13|2|1|2|1|1|1|1
3453862|1|1|1|679.72321643|13|2|1|2|1|1|1|1
3453863|1|1|1|812.42995516|13|1|1|4|1|1|1|1
