Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6160|P6170|P6175|P6210|P6210S1|P6220
3409800|1|2|2|700.9360005|34098001|1|1|1|3|02|
3409800|1|3|3|700.9360005|34098001|2|1|1|2|00|
3409801|1|1|1|456.63031631|34098011|1|2||6|04|3
3409802|1|1|1|244.01666152|34098021|1|2||6|02|3
3409802|1|2|2|244.01666152|34098021|1|2||6|04|2
3409802|1|3|3|244.01666152|34098021|1|1|1|3|04|
3409804|1|1|1|349.56586482|34098041|1|2||5|11|2
3409804|1|2|2|349.56586482|34098041|1|2||6|02|3
3409805|1|1|1|267.72551807|34098051|1|2||6|05|4
3409805|1|2|2|267.72551807|34098051|1|2||3|05|
3409806|1|1|1|267.72551807|34098061|1|2||3|05|
3409806|1|2|2|267.72551807|34098061|1|2||3|05|
3409808|1|1|1|412.54648621|34098081|1|2||5|11|2
3409808|1|2|2|412.54648621|34098081|1|2||5|11|2
3409808|1|3|3|412.54648621|34098081|1|1|1|4|06|
3409809|1|1|1|267.72551807|34098091|1|2||4|07|
3409809|1|2|2|267.72551807|34098091|1|2||5|11|2
3409810|1|1|1|175.23400013|34098101|1|2||3|02|
3409811|1|1|1|282.17816911|34098111|1|2||6|02|3
3409811|1|2|2|282.17816911|34098111|1|2||5|11|2
3409811|1|3|3|282.17816911|34098111|1|1|1|4|00|
3409812|1|1|1|175.23400013|34098121|1|2||3|04|
3409812|1|2|2|175.23400013|34098121|1|2||6|01|2
3409812|1|3|3|175.23400013|34098121|1|1|1|6|02|2
3409813|1|1|1|175.23400013|34098131|1|2||3|05|
3409813|1|2|2|175.23400013|34098131|1|2||5|11|2
3409813|1|3|3|175.23400013|34098131|1|2||5|11|2
3409813|1|4|4|175.23400013|34098131|1|1|1|5|10|1
3409813|1|5|5|175.23400013|34098131|1|2||5|11|2
3409815|1|1|1|265.75202019|34098151|1|2||5|11|2
3409816|1|1|1|700.9360005|34098161|1|2||5|11|2
3409816|1|2|2|700.9360005|34098161|1|2||5|11|2
3409816|1|3|3|700.9360005|34098161|1|1|1|3|01|
3409817|1|1|1|183.009538|34098171|1|2||5|11|2
3409817|1|2|2|183.009538|34098171|1|2||5|10|1
3409817|1|3|3|183.009538|34098171|1|2||6|02|3
3409818|1|1|1|183.009538|34098181|1|2||6|03|3
3409818|1|2|2|183.009538|34098181|1|2||4|08|
3409818|1|3|3|183.009538|34098181|1|1|1|6|02|3
3409819|1|1|1|265.75202019|34098191|1|2||5|11|2
3409820|1|1|1|603.42478234|34098201|1|2||4|07|
3409820|1|2|2|603.42478234|34098201|1|2||4|08|
3409820|1|3|3|603.42478234|34098201|1|2||5|11|2
3409821|1|1|1|175.23400013|34098211|1|2||5|11|2
3409822|1|1|1|308.35766803|34098221|1|2||5|11|2
3409822|1|2|2|308.35766803|34098221|1|1|1|6|02|2
3409822|1|3|3|308.35766803|34098221|1|2||3|05|
3409823|1|1|1|265.75202019|34098231|1|2||6|01|3
3409824|1|1|1|700.9360005|34098241|1|2||6|01|3
3409824|1|2|2|700.9360005|34098241|1|2||5|11|2
3409824|1|3|3|700.9360005|34098241|2|1|1|2|00|
3409825|1|1|1|700.9360005|34098251|1|2||5|11|2
3409826|1|1|1|754.85415439|34098261|1|2||3|05|
3409826|1|2|2|754.85415439|34098261|1|1|2|6|04|3
3409826|1|3|3|754.85415439|34098261|1|1|1|3|02|
3409827|1|1|1|754.85415439|34098271|1|1|2|3|05|
3409827|1|2|2|754.85415439|34098271|1|2||3|03|
3409827|1|3|3|754.85415439|34098271|1|2||6|02|3
3409827|1|4|4|754.85415439|34098271|1|2||6|05|4
3409827|1|5|5|754.85415439|34098271|1|1|1|4|06|
3409827|1|6|6|754.85415439|34098271|1|1|1|3|01|
3409828|1|1|1|625.77448867|34098281|1|2||5|10|1
3409828|1|2|2|625.77448867|34098281|1|2||6|02|3
3409828|1|3|3|625.77448867|34098281|1|2||6|02|3
3409829|1|1|1|534.56318613|34098291|1|2||5|11|2
3409829|1|2|2|534.56318613|34098291|1|2||5|11|2
3409829|1|3|3|534.56318613|34098291|1|2||6|01|3
3409830|1|1|1|188.7135386|34098301|1|2||3|05|
3409830|1|2|2|188.7135386|34098301|1|2||5|11|2
3409831|1|1|1|378.58085214|34098311|1|2||3|05|
3409831|1|2|2|378.58085214|34098311|1|2||3|02|
3409831|1|3|3|378.58085214|34098311|1|2||5|11|2
3409832|1|1|1|188.7135386|34098321|1|2||3|03|
3409832|1|2|2|188.7135386|34098321|2|2||1|00|
3409832|1|3|3|188.7135386|34098321|1|2||3|04|
3409833|1|1|1|535.51342522|34098331|1|2||5|11|2
3409833|1|2|2|535.51342522|34098331|1|2||5|11|2
3409834|1|1|1|303.88418212|34098341|1|1|2|5|11|2
3409834|1|2|2|303.88418212|34098341|1|2||5|11|2
3409834|1|3|3|303.88418212|34098341|1|1|1|5|10|1
3409835|1|1|1|512.10611588|34098351|1|2||5|11|2
3409835|1|2|2|512.10611588|34098351|1|2||6|02|3
